judul berita,link berita,gambar
PNS Makassar Pemilik Ford Mustang-Harley Davidson Buka Suara!,https://news.detik.com/berita/d-5545817/pns-makassar-pemilik-ford-mustang-harley-davidson-buka-suara,https://akcdn.detik.net.id/community/media/visual/2020/06/23/ford-mustang_43.jpeg?w=210&q=90
Jerapah-jerapah Dievakuasi dari Pulau yang Akan Tenggelam di Kenya,https://news.detik.com/detiktv/d-5545815/jerapah-jerapah-dievakuasi-dari-pulau-yang-akan-tenggelam-di-kenya,https://akcdn.detik.net.id/community/media/visual/2020/12/10/terkepung-banjir-jerapah-di-kenya-dievakuasi_43.jpeg?w=210&q=90
"Klaster Kantor Melonjak, Begini Naik-Turun Corona di Jakarta dalam Sepekan",https://news.detik.com/berita/d-5545814/klaster-kantor-melonjak-begini-naik-turun-corona-di-jakarta-dalam-sepekan,https://akcdn.detik.net.id/community/media/visual/2020/09/02/ilustrasi-corona-fauzan-kamildetikcom_43.jpeg?w=210&q=90
"Waduh, Trotoar di Kota Bandung Jadi Tempat Parkir Liar",https://news.detik.com/foto-news/d-5545807/waduh-trotoar-di-kota-bandung-jadi-tempat-parkir-liar,https://akcdn.detik.net.id/community/media/visual/2021/04/25/waduh-trotoar-di-kota-bandung-jadi-tempat-parkir-liar_43.jpeg?w=210&q=90
Membandingkan Elektabilitas Anies dan Khofifah di Survei Capres Terkini,https://news.detik.com/berita/d-5545802/membandingkan-elektabilitas-anies-dan-khofifah-di-survei-capres-terkini,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-bertemu-dengan-gubernur-jawa-timur-khofifah-indar-parawansa-foto-dok-pemprov-jatim_43.jpeg?w=210&q=90
"Jakarta Ketergantungan Pangan 99 Persen, Anies Ingin Balas Budi ke Petani Jatim",https://news.detik.com/berita-jawa-timur/d-5545801/jakarta-ketergantungan-pangan-99-persen-anies-ingin-balas-budi-ke-petani-jatim,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-mou-dengan-pemkab-ngawi-terkait-ketahanan-pangan-beras-anies-didampingi-gubernur-khofifah-2_43.jpeg?w=210&q=90
"Ada Varian Virus Baru, Waket MPR Minta Terapkan Prokes di Keseharian",https://news.detik.com/berita/d-5545797/ada-varian-virus-baru-waket-mpr-minta-terapkan-prokes-di-keseharian,https://akcdn.detik.net.id/community/media/visual/2020/10/28/wakil-ketua-mpr-lestari-moerdijat-mengungkapkan-museum-memiliki-kemampuan-untuk-membangkitkan-kembali-idealisme-dan-nasionalis_43.jpeg?w=210&q=90
Waspada Potensi Hujan Lebat Disertai Kilat di Jabodetabek Sore Ini,https://news.detik.com/berita/d-5545796/waspada-potensi-hujan-lebat-disertai-kilat-di-jabodetabek-sore-ini,https://akcdn.detik.net.id/community/media/visual/2020/02/13/46c145d8-2514-4eab-bd0b-5e1b7f82d016_43.jpeg?w=210&q=90
MUI Ajak Warga Salat Gaib untuk Awak Kapal KRI Nanggala-402,https://news.detik.com/berita/d-5545793/mui-ajak-warga-salat-gaib-untuk-awak-kapal-kri-nanggala-402,https://akcdn.detik.net.id/community/media/visual/2021/04/21/kri-nanggala-402_43.jpeg?w=210&q=90
Sosok RP Poernomo dan Slogan 'Tabah Sampai Akhir' bagi Awak Kapal Selam,https://news.detik.com/berita/d-5545791/sosok-rp-poernomo-dan-slogan-tabah-sampai-akhir-bagi-awak-kapal-selam,https://akcdn.detik.net.id/community/media/visual/2021/04/21/ini-potret-kapal-selam-kri-nanggala-402-yang-hilang-kontak-di-bali-5_43.jpeg?w=210&q=90
Reuni Anies-Khofifah Dianggap Penjajakan Cari Chemistry Pilpres 2024,https://news.detik.com/berita/d-5545788/reuni-anies-khofifah-dianggap-penjajakan-cari-chemistry-pilpres-2024,https://akcdn.detik.net.id/community/media/visual/2021/04/25/momen-pertemuan-anies-khofifah-di-balai-kota-madiun-1_43.jpeg?w=210&q=90
Walkot Makassar Heran Anak Buahnya Punya Mobil Mewah-Harta Melimpah,https://news.detik.com/detiktv/d-5545786/walkot-makassar-heran-anak-buahnya-punya-mobil-mewah-harta-melimpah,https://akcdn.detik.net.id/community/media/visual/2021/03/02/wali-kota-makassar-danny-pomanto-ibnu-munsirdetikcom_43.jpeg?w=210&q=90
Doa Keluar Rumah,https://news.detik.com/infografis/d-5545677/doa-keluar-rumah,https://akcdn.detik.net.id/community/media/visual/2021/04/25/one-day-one-hadits-doa-keluar-rumah_43.jpeg?w=210&q=90
Mensos Kunjungi Anak Kru KRI Nanggala-402 Kunci Ayahnya di Kamar yang Viral,https://news.detik.com/berita-jawa-timur/d-5545784/mensos-kunjungi-anak-kru-kri-nanggala-402-kunci-ayahnya-di-kamar-yang-viral,https://akcdn.detik.net.id/community/media/visual/2021/04/25/mensos-datangi-rumah-kru-kri-nanggala-420-yang-viral-karena-anaknya-1_43.jpeg?w=210&q=90
Ini yang Dibahas Anies Saat Berkunjung ke Ngawi Bareng Khofifah,https://news.detik.com/foto-news/d-5545772/ini-yang-dibahas-anies-saat-berkunjung-ke-ngawi-bareng-khofifah,https://akcdn.detik.net.id/community/media/visual/2021/04/25/ini-yang-dibahas-anies-saat-berkunjung-ke-ngawi-bareng-khofifah_43.jpeg?w=210&q=90
Pasar Tanah Abang Mulai Dipadati Pemburu Busana Lebaran,https://news.detik.com/detiktv/d-5545765/pasar-tanah-abang-mulai-dipadati-pemburu-busana-lebaran,https://akcdn.detik.net.id/community/media/visual/2017/06/20/8b54879e-2d52-47ae-8499-e9fddb387c6f_43.jpg?w=210&q=90
"Gempa M 4,7 Guncang Boalemo Gorontalo",https://news.detik.com/berita/d-5545760/gempa-m-47-guncang-boalemo-gorontalo,https://akcdn.detik.net.id/community/media/visual/2019/08/10/d0d59889-3623-4bc4-985c-493487d4205d_43.jpeg?w=210&q=90
Sandiaga Minta Andre Rosiade Bantu Pengembangan Pariwisata Sawahlunto,https://news.detik.com/berita/d-5545738/sandiaga-minta-andre-rosiade-bantu-pengembangan-pariwisata-sawahlunto,https://akcdn.detik.net.id/community/media/visual/2021/04/25/andre-rosiade_43.jpeg?w=210&q=90
"Jelang Lebaran, Warga Bandung Serbu Pusat Perbelanjaan",https://news.detik.com/berita-jawa-barat/d-5545736/jelang-lebaran-warga-bandung-serbu-pusat-perbelanjaan,https://akcdn.detik.net.id/community/media/visual/2021/04/25/warga-padati-sejumlah-pusat-perbelanjaan-di-kota-bandung_43.jpeg?w=210&q=90
"Beroperasi Saat Ramadhan, Belasan Pemandu Lagu Digiring ke Kantor Satpol PP",https://news.detik.com/berita-jawa-timur/d-5545714/beroperasi-saat-ramadhan-belasan-pemandu-lagu-digiring-ke-kantor-satpol-pp,https://akcdn.detik.net.id/community/media/visual/2021/04/25/nekat-beroperasi-belasan-pemandu-lagu-diamankan-satpol-pp-lamongan_43.jpeg?w=210&q=90
Polisi Sebut Pemotor Viral di Bintaro yang Lepas Tangan Saat Berkendara Iseng,https://news.detik.com/berita/d-5545712/polisi-sebut-pemotor-viral-di-bintaro-yang-lepas-tangan-saat-berkendara-iseng,https://akcdn.detik.net.id/community/media/visual/2021/04/23/pemotor-santuy-lepas-tangan-sambil-duduk-bersila-dan-menyamping-di-bintaro_43.png?w=210&q=90
"Viral Video Notaris Bentak-bentak Polhut di Batang, Begini Ceritanya",https://news.detik.com/berita-jawa-tengah/d-5545709/viral-video-notaris-bentak-bentak-polhut-di-batang-begini-ceritanya,https://akcdn.detik.net.id/community/media/visual/2021/04/25/viral-wanita-bentak-bentak-polhut-di-batang_43.jpeg?w=210&q=90
"Reuni Anies Baswedan-Khofifah, Sesama Eks Menteri dan Timses Jokowi",https://news.detik.com/berita/d-5545708/reuni-anies-baswedan-khofifah-sesama-eks-menteri-dan-timses-jokowi,https://akcdn.detik.net.id/community/media/visual/2021/04/25/gubernur-dki-jakarta-anies-baswedan-bertemu-dengan-gubernur-jawa-timur-khofifah-indar-parawansa-foto-dok-pemprov-jatim_43.jpeg?w=210&q=90
Kemendagri Tegaskan Tak Ada Kolom Jenis Kelamin Transgender di e-KTP,https://news.detik.com/berita/d-5545707/kemendagri-tegaskan-tak-ada-kolom-jenis-kelamin-transgender-di-e-ktp,https://akcdn.detik.net.id/community/media/visual/2020/07/07/ilustrasi-e-ktp_43.jpeg?w=210&q=90
Anggota DPRD Manado dari Golkar Tewas dalam Kecelakaan Lalu Lintas,https://news.detik.com/berita/d-5545705/anggota-dprd-manado-dari-golkar-tewas-dalam-kecelakaan-lalu-lintas,https://akcdn.detik.net.id/community/media/visual/2021/04/25/mobil-yang-dikendarai-oleh-anggota-dprd-kota-manado-mengalami-kecelakaan_43.jpeg?w=210&q=90
Momen Anies-Khofifah Semobil dari Madiun ke Ngawi,https://news.detik.com/detiktv/d-5545702/momen-anies-khofifah-semobil-dari-madiun-ke-ngawi,https://akcdn.detik.net.id/community/media/visual/2021/04/25/momen-pertemuan-anies-khofifah-di-balai-kota-madiun_43.jpeg?w=210&q=90
